email,date,breakfast,lunch,dinner
me.you@iiit.ac.in,2018-11-04,south,south,south
me.you@iiit.ac.in,2018-11-05,south,south,south
me.you@iiit.ac.in,2018-11-06,south,south,south
me.you@iiit.ac.in,2018-11-07,south,south,south
me.you@iiit.ac.in,2018-11-08,south,south,south
me.you@iiit.ac.in,2018-11-09,south,south,south
me.you@iiit.ac.in,2018-11-10,south,south,south
me.you@iiit.ac.in,2018-11-11,south,south,south
me.you@iiit.ac.in,2018-11-12,south,south,south
me.you@iiit.ac.in,2018-11-13,south,south,south
me.you@iiit.ac.in,2018-11-14,south,south,south
me.you@iiit.ac.in,2018-11-15,south,south,south
me.you@iiit.ac.in,2018-11-16,south,south,south
me.you@iiit.ac.in,2018-11-17,south,south,south
me.you@iiit.ac.in,2018-11-18,south,south,south
me.you@iiit.ac.in,2018-11-19,south,south,south
me.you@iiit.ac.in,2018-11-20,south,south,south
me.you@iiit.ac.in,2018-11-21,south,south,south
me.you@iiit.ac.in,2018-11-22,south,south,south
me.you@iiit.ac.in,2018-11-23,south,south,south
me.you@iiit.ac.in,2018-11-24,south,south,south
me.you@iiit.ac.in,2018-11-25,south,south,south
me.you@iiit.ac.in,2018-11-26,south,south,south
me.you@iiit.ac.in,2018-11-27,south,south,south
me.you@iiit.ac.in,2018-11-28,south,south,south
me.you@iiit.ac.in,2018-11-29,south,south,south
me.you@iiit.ac.in,2018-11-30,south,south,south
me.you@iiit.ac.in,2018-12-01,south,south,south
me.you@iiit.ac.in,2018-12-02,south,south,south
me.you@iiit.ac.in,2018-12-03,south,south,south
me.you@iiit.ac.in,2018-12-04,south,south,south
me.you@iiit.ac.in,2018-12-05,south,south,south
me.you@iiit.ac.in,2018-12-06,south,south,south
me.you@iiit.ac.in,2018-12-07,south,south,south
me.you@iiit.ac.in,2018-12-08,south,south,south
me.you@iiit.ac.in,2018-12-09,south,south,south
me.you@iiit.ac.in,2018-12-10,south,south,south
me.you@iiit.ac.in,2018-12-11,south,south,south
me.you@iiit.ac.in,2018-12-12,south,south,south
me.you@iiit.ac.in,2018-12-13,south,south,south
me.you@iiit.ac.in,2018-12-14,south,south,south
me.you@iiit.ac.in,2018-12-15,south,south,south
me.you@iiit.ac.in,2018-12-16,south,south,south
me.you@iiit.ac.in,2018-12-17,south,south,south
me.you@iiit.ac.in,2018-12-18,south,south,south
me.you@iiit.ac.in,2018-12-19,south,south,south
me.you@iiit.ac.in,2018-12-20,south,south,south
me.you@iiit.ac.in,2018-12-21,south,south,south
